,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C1,1,-0.197847339,0,0.142469476,0,-0.147677782,0,0,-0.135327874,0,0.267772412,0.273991713,0,-0.163934813,0,0,0.18071836,0.00E+00,0,-0.14916536,0.294156841
C2,-0.197847339,1,-0.179951085,-0.404075888,0.165804074,0.335176385,0.27707418,0.167725153,0,0,0,0,0.157146603,0,0.167264489,0,0,-0.216602837,0,0,0.019138214
C3,0,-0.179951085,1,0.304106061,0.246121252,-0.094716438,0,-0.124210085,-0.259303011,-0.169742191,0,-0.196925184,0,0.214631168,0,0,0,0.195208504,0.190964761,0.225146418,-0.040649155
C4,0.142469476,-0.404075888,0.304106061,1,0.25208527,-0.159950383,-0.341885128,-0.295633221,-0.400930979,0,0,0,0,0,0,0,0.211156217,0.339473491,0,0,-0.05355287
C5,0,0.165804074,0.246121252,0.25208527,1,0,0.150896452,0,-0.289640361,0,0,0,0,-0.180402644,0,0,0.320297331,0,0,0,0.105096796
C6,-0.147677782,0.335176385,-0.094716438,-0.159950383,0,1,0,0,0,0,0,0,0.20836688,0.254360993,0,0,0,0,0,0,0.018847683
C7,0,0.27707418,0,-0.341885128,0.150896452,0,1,0,0,0,-0.097545081,0,0.201859945,0,0,-0.131659693,0,-0.109818957,-0.097202526,0,-0.089549329
C8,0,0.167725153,-0.124210085,-0.295633221,0,0,0,1,0,0.515658856,0,0,0,0,0,0,0,0,0,0.211985135,-0.079461338
C9,-0.135327874,0,-0.259303011,-0.400930979,-0.289640361,0,0,0,1,0,-0.21011824,0,0,0,0.174820325,0.133063743,-0.420347894,-0.317807009,0,0,-0.115977439
C10,0,0,-0.169742191,0,0,0,0,0.515658856,0,1,0,0,0,0,-0.184459871,0,0,0,0.151477246,0,0.009643723
C11,0.267772412,0,0,0,0,0,-0.097545081,0,-0.21011824,0,1,0,-0.216879673,-0.130262455,0,0,0.270321812,0,0.132410031,0,0.619272163
C12,0.273991713,0,-0.196925184,0,0,0,0,0,0,0,0,1,0,0,0,0.186336103,-0.148803973,-0.173122956,0,0.16280593,0.392573069
C13,0,0.157146603,0,0,0,0.20836688,0.201859945,0,0,0,-0.216879673,0,1,0.182148875,-0.186724385,0,0,0.130140691,0,0,-0.170924553
C14,-0.163934813,0,0.214631168,0,-0.180402644,0.254360993,0,0,0,0,-0.130262455,0,0.182148875,1,0,0,-0.288433461,-0.30083078,0.271612569,0.471739113,-0.09539887
C15,0,0.167264489,0,0,0,0,0,0,0.174820325,-0.184459871,0,0,-0.186724385,0,1,0,0,0,0,0,0.032079045
C16,0,0,0,0,0,0,-0.131659693,0,0.133063743,0,0,0.186336103,0,0,0,1,0,-0.095042933,0,0,0.033930629
C17,0.18071836,0,0,0.211156217,0.320297331,0,0,0,-0.420347894,0,0.270321812,-0.148803973,0,-0.288433461,0,0,1,0.429189482,0,-0.184458755,0.033166685
C18,0.00E+00,-0.216602837,0.195208504,0.339473491,0,0,-0.109818957,0,-0.317807009,0,0,-0.173122956,0.130140691,-0.30083078,0,-0.095042933,0.429189482,1,-0.139726329,-0.164209614,-0.256271945
C19,0,0,0.190964761,0,0,0,-0.097202526,0,0,0.151477246,0.132410031,0,0,0.271612569,0,0,0,-0.139726329,1,0.349993498,0.022492901
C20,-0.14916536,0,0.225146418,0,0,0,0,0.211985135,0,0,0,0.16280593,0,0.471739113,0,0,-0.184458755,-0.164209614,0.349993498,1,-0.053100665
C21,0.294156841,0.019138214,-0.040649155,-0.05355287,0.105096796,0.018847683,-0.089549329,-0.079461338,-0.115977439,0.009643723,0.619272163,0.392573069,-0.170924553,-0.09539887,0.032079045,0.033930629,0.033166685,-0.256271945,0.022492901,-0.053100665,1
