,C22,C13,C14,C15,C16,C17,C18,C19,C20,C25
C22,1.0,-0.08758320599457349,-0.13553526448626313,-0.19866531823347003,0.028848712604500205,0.18469291303161797,0.15712860580919905,0.03471801204354173,0.03920237231347274,0.22112652978707562
C13,-0.08668090298715468,1.0,0.1614278002841373,-0.21712669546440597,-0.009917552273858633,-0.04474198401256424,0.10283562481315395,-0.11653155573246236,-0.10686116918101572,-0.258719306493597
C14,-0.14438686132746345,0.1543224668105961,1.0,0.012153837204387796,-0.13380863499308757,-0.31473987817770605,-0.33245453666794683,0.22541291601934482,0.4566946848363762,-0.1381286524823652
C15,-0.19228849500714132,-0.21326484128248074,0.024475662055931265,1.0,0.07916607612401692,0.017165311464021185,-0.08831299639772938,-0.018963377599723392,-0.04736047898184352,0.00565060158797887
C16,0.037884263782206114,-0.0042143374586468595,-0.11862017495276547,0.08080140506332242,1.0,0.00538055430643894,-0.12802114341294749,-0.01582296168437149,-0.016906129277167763,0.002463049595329279
C17,0.16905632502239062,-0.05690701727732161,-0.3185143164525657,-0.0018808587070490706,-0.017596281498978582,1.0,0.38955588148965203,-0.13273641090838303,-0.20330030227639842,0.5860258569321513
C18,0.15324001110706068,0.09920979119487984,-0.32750654458389206,-0.09729025676075413,-0.1397437482208331,0.39995402502586475,1.0,-0.1910703081014232,-0.1809197605499253,0.22101189523193732
C19,0.04285801692603324,-0.11163111479552665,0.24143619943002836,-0.019175904386722266,-0.01821213318544624,-0.10790177966699578,-0.17948107459928045,1.0,0.3310911702690414,0.3540945860134973
C20,0.014097195779583169,-0.12574298107232598,0.44424857437168336,-0.0733406993072121,-0.047278967983194156,-0.21458053261831297,-0.2004202707058585,0.29709065725576295,1.0,0.04702876798323902
C25,0.214899738377371,-0.26421703271403696,-0.1332064035101433,-0.006561464750122375,-0.013244525777589325,0.5973755804833508,0.21969412026590235,0.3382964649513718,0.06974314220646385,1.0
